,nip_szukany,regon14,nip,nazwa,nazwaskrocona,numerwrejestrzeewidencji,datapowstania,datarozpoczeciadzialalnosci,datawpisudoregon,datazawieszeniadzialalnosci,datawznowieniadzialalnosci,datazaistnieniazmiany,datazakonczeniadzialalnosci,dataskresleniazregon,adsiedzkraj_symbol,adsiedzwojewodztwo_symbol,adsiedzpowiat_symbol,adsiedzgmina_symbol,adsiedzkodpocztowy,adsiedzmiejscowoscpoczty_symbol,adsiedzmiejscowosc_symbol,adsiedzulica_symbol,adsiedznumernieruchomosci,adsiedznumerlokalu,adsiedznietypowemiejscelokalizacji,numertelefonu,numerwewnetrznytelefonu,numerfaksu,adresemail,adresstronyinternetowej,adresemail2,adkorkraj_symbol,adkorwojewodztwo_symbol,adkorpowiat_symbol,adkorgmina_symbol,adkorkodpocztowy,adkormiejscowoscipoczty_symbol,adkormiejscowosc_symbol,adkorulica_symbol,adkornumernieruchomosci,adkornumerlokalu,adkornietypowemiejscelokalizacji,adkornazwapodmiotudokorespondencji,adsiedzkraj_nazwa,adsiedzwojewodztwo_nazwa,adsiedzpowiat_nazwa,adsiedzgmina_nazwa,adsiedzmiejscowosc_nazwa,adsiedzmiejscowoscpoczty_nazwa,adsiedzulica_nazwa,adkorkraj_nazwa,adkorwojewodztwo_nazwa,adkorpowiat_nazwa,adkorgmina_nazwa,adkormiejscowosc_nazwa,adkormiejscowoscpoczty_nazwa,adkorulica_nazwa,podstawowaformaprawna_symbol,szczegolnaformaprawna_symbol,formafinansowania_symbol,formawlasnosci_symbol,organzalozycielski_symbol,organrejestrowy_symbol,rodzajrejestruewidencji_symbol,podstawowaformaprawna_nazwa,szczegolnaformaprawna_nazwa,formafinansowania_nazwa,formawlasnosci_nazwa,organzalozycielski_nazwa,organrejestrowy_nazwa,rodzajrejestruewidencji_nazwa,jednosteklokalnych,datawpisudorejestruewidencji,adkormiejscowoscipoczty_nazwa
10,6131261187,23088194000000,6131261187,POWIATOWY URZĄD PRACY W LUBANIU,"POWIATOWY URZĄD PRACY,LUBAŃ",,2000-01-01,2000-01-01,,,,2008-11-12,,,PL,02,10,011,59800,0936150,0936150,11469,10,,,0757222548,,0757223278,pup@powiatluban.pl,pup.luban.ibip.pl,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,lubański,Lubań,Lubań,Lubań,ul. Lwówecka,,,,,,,,2,430,2,113,260021000,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU LUBAŃSKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,2000-01-01,
11,6921033718,39072973000000,6921033718,POWIATOWY URZĄD PRACY W LUBINIE,,,1999-12-21,2000-01-01,,,,2020-11-24,,,PL,02,11,011,59300,0954142,0954142,08435,12B,,,767461401,,767461400,wrln@praca.gov.pl,WWW.LUBIN.PRACA.GOV.PL,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,lubiński,Lubin,Lubin,Lubin,ul. Jana Kilińskiego,,,,,,,,2,430,2,113,260021100,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU LUBIŃSKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,,
12,6161387935,23088203900000,6161387935,POWIATOWY URZĄD PRACY WE LWÓWKU ŚLĄSKIM,PUP,,2000-01-01,2000-01-01,,,,2009-05-19,,,PL,02,12,034,59600,0936227,0936227,02337,1,,,0757824224,,0757824227,wrlw@praca.gov.pl,,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,lwówecki,Lwówek Śląski,Lwówek Śląski,Lwówek Śląski,ul. Budowlanych,,,,,,,,2,430,2,113,260021200,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU LWÓWECKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,2000-01-01,
13,9161285395,93210950500000,9161285395,POWIATOWY URZĄD PRACY W MILICZU,"POW.URZĄD PRACY,MILICZ",,2000-01-01,2000-01-01,,,,2008-10-27,,,PL,02,13,034,56300,0987130,0987130,24628,40,,,0713842958,,0713842041,WRMI@PRACA.GOV.PL,WWW.PUPMILICZ.SAMORZADY.PL,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,milicki,Milicz,Milicz,Milicz,ul. Wojska Polskiego,,,,,,,,2,430,2,113,260021300,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU MILICKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,2000-01-01,
14,9111740383,93210665900000,9111740383,POWIATOWY URZĄD PRACY W OLEŚNICY,"POW.URZĄD PRACY,OLEŚNICA",,2000-01-01,2000-01-01,,,,2008-11-06,,,PL,02,14,011,56400,0987213,0987213,24628,13,,,0713142089,,0713142089,WROL@PRACA.GOV.PL,WWW.PUP-OLESNICA.PRV.PL,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,oleśnicki,Oleśnica,Oleśnica,Oleśnica,ul. Wojska Polskiego,,,,,,,,2,430,2,113,260021400,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU OLEŚNICKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,2000-01-01,
15,9121044248,93213238400000,9121044248,POWIATOWY URZĄD PRACY,"POW.URZĄD PRACY,OŁAWA",,2000-01-01,2000-01-01,,,,2013-03-26,,,PL,02,15,011,55200,0987259,0987259,11937,1,,,713139033,,713139652,WROO@PRACA.GOV.PL,PUP.OLAWA.SISCO.INFO,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,oławski,Oława,Oława,Oława,ul. 3 Maja,,,,,,,,2,430,2,113,260021500,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU OŁAWSKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,2000-01-01,
16,6921756776,39073222900000,6921756776,POWIATOWY URZĄD PRACY,PUP,,1998-10-13,2000-01-01,,,,2009-01-17,,,PL,02,16,044,59100,0954165,0954165,10780,15,,,0767465250,,0767465253,wpro@praca.gov.pl,www.pup.polkowice.one.pl,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,polkowicki,Polkowice,Polkowice,Polkowice,ul. Legnicka,,,,,,,,2,430,2,113,260021600,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU POLKOWICKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,1998-10-13,
17,9141037754,93212522000000,9141037754,POWIATOWY URZĄD PRACY W STRZELINIE,"POW.URZĄD PRACY,STRZELIN",,2000-01-01,2000-01-01,,,,2013-02-26,,,PL,02,17,044,57100,0987331,0987331,07879,10,,,713921981,,713921981,WRST@PRACA.GOV.PL,WWW.PUP.STRZELIN.AC.PL,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,strzeliński,Strzelin,Strzelin,Strzelin,ul. Kamienna,,,,,,,,2,430,2,113,260021700,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU STRZELIŃSKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,2000-01-01,
18,9131149233,93210456000000,9131149233,POWIATOWY URZĄD PRACY W ŚRODZIE ŚLĄSKIEJ,"POW.URZĄD PRACY,ŚRODA ŚLĄSKA",,2000-01-01,2000-01-01,,,,2008-11-24,,,PL,02,18,044,55300,0987348,0987348,24806,4,,,0713172505,,0713175167,wrsr@praca.gov.pl,www.pup-srodaslaska.neostrada.pl,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,średzki,Środa Śląska,Środa Śląska,Środa Śląska,ul. Wrocławska,,,,,,,,2,430,2,113,260021800,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU ŚREDZKIEGO (WOJ. DOLNOŚLĄSKIE),,PODMIOTY UTWORZONE Z MOCY USTAWY,0,2000-01-01,
19,8841294659,89107652700000,8841294659,POWIATOWY URZĄD PRACY W ŚWIDNICY,POWIATOWY URZĄD,,2000-01-01,2000-01-01,,,,2008-11-13,,,PL,02,19,011,58100,0984657,0984657,20068,5,,,0748522381,,0748523434,wrsw@praca.gov.pl,www.praca.swidnica.pl,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,świdnicki,Świdnica,Świdnica,Świdnica,ul. Marii Skłodowskiej-Curie,,,,,,,,2,430,2,113,260021900,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU ŚWIDNICKIEGO (WOJ. DOLNOŚLĄSKIE),,PODMIOTY UTWORZONE Z MOCY USTAWY,0,2000-01-01,
20,9151566514,93210482100000,9151566514,POWIATOWY URZĄD PRACY W TRZEBNICY,"POW.URZ.PRACY,TRZEBNICA",,1999-01-01,2000-01-01,,,,2012-04-02,,,PL,02,20,034,55100,0987383,0987383,09582,10,,,713870565,,713121154,WRTR@PRACA.GOV.PL,WWW.PRACA.TRZEBNICA.PL,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,trzebnicki,Trzebnica,Trzebnica,Trzebnica,ul. Tadeusza Kościuszki,,,,,,,,2,430,2,113,260022000,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU TRZEBNICKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,1999-01-01,
21,8862507882,89107483000000,8862507882,POWIATOWY URZĄD PRACY W WAŁBRZYCHU,"PUP,WAŁBRZYCH",,2000-01-01,2000-01-01,,,,2009-01-12,,,PL,02,65,011,58306,0983681,0983681,14834,5 B,,,0748466251,,,,,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,Wałbrzych,Wałbrzych,Wałbrzych,Wałbrzych,ul. Ogrodowa,,,,,,,,2,430,2,113,070026300,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU M. WAŁBRZYCH,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,2000-01-01,
22,9880001544,93211057200000,9880001544,POWIATOWY URZĄD PRACY W WOŁOWIE,"POW.URZĄD PRACY,WOŁÓW",,2000-01-01,2000-01-01,,,,2023-05-26,,,PL,02,22,034,56100,0987466,0987466,48601,2,,,0713894810,,0713892655,wrwo@praca.gov.pl,www.pupwolow.pl,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,wołowski,Wołów,Wołów,Wołów,Plac Piastowski,,,,,,,,2,430,2,113,260022200,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU WOŁOWSKIEGO,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,2000-01-01,
23,8961000873,93211248200000,8961000873,POWIATOWY URZĄD PRACY WE WROCŁAWIU,"POW.URZ.PRACY,WROCŁAW",,1993-01-01,2000-01-01,,,,2010-03-30,,,PL,02,64,039,50525,0986544,0986544,05559,20-22,,,717701600,,717701633,WRWR@PUP-WROCLAW.PL,www.pup-wroclaw.pl,,,,,,,,,,,,,,POLSKA,DOLNOŚLĄSKIE,Wrocław,Wrocław-Krzyki,Wrocław,Wrocław,ul. Gliniana,,,,,,,,2,430,2,113,070026400,,000,JEDNOSTKA ORGANIZACYJNA NIEMAJĄCA OSOBOWOŚCI PRAWNEJ,POWIATOWE SAMORZĄDOWE JEDNOSTKI ORGANIZACYJNE,JEDNOSTKA BUDŻETOWA,WŁASNOŚĆ JEDNOSTEK SAMORZĄDU TERYTORIALNEGO LUB SAMORZĄDOWYCH OSÓB PRAWNYCH,STAROSTA POWIATU M. WROCŁAW,,PODMIOTY UTWORZONE Z MOCY USTAWY,0,1993-01-01,
